Day-Time    Activitie

Sat-12 pm   Analyze test, setup project repository
Sat-01 pm   Study and test provided endpoints
Sat-02 pm   High level project design (front and back) considering available data
Sat-04 pm   Backend design
Sat-05 pm   Backend tech-stack selection and setup
Sat-06 pm   Break
Sun-09 am   Start backend development
Sun-12 pm   Implement update-data endpoints
Sun-01 pm   Break
Sun-03 pm   Setup mongodb instance
Sun-04 pm   Work around lack of db storage capacity
Sun-06 pm   Finish data update implementation
Sun-07 pm   Break
Sun-09 pm   Implement search endpoints for front end
Mon-07 am   Finish search endpoints implementation
Mon-10 am   Start frontend development
Mon-12 pm   Busy
Mon-07 pm   Continue frontend
Mon-09 pm   Finish people view
